city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,6
sj,2008,20,7
sj,2008,21,11
sj,2008,22,9
sj,2008,23,10
sj,2008,24,14
sj,2008,25,16
sj,2008,26,13
sj,2008,27,16
sj,2008,28,19
sj,2008,29,17
sj,2008,30,27
sj,2008,31,25
sj,2008,32,56
sj,2008,33,58
sj,2008,34,54
sj,2008,35,66
sj,2008,36,86
sj,2008,37,94
sj,2008,38,77
sj,2008,39,66
sj,2008,40,70
sj,2008,41,61
sj,2008,42,66
sj,2008,43,44
sj,2008,44,45
sj,2008,45,44
sj,2008,46,48
sj,2008,47,34
sj,2008,48,31
sj,2008,49,39
sj,2008,50,31
sj,2008,51,30
sj,2008,52,32
sj,2009,1,18
sj,2009,2,13
sj,2009,3,18
sj,2009,4,14
sj,2009,5,18
sj,2009,6,14
sj,2009,7,13
sj,2009,8,9
sj,2009,9,9
sj,2009,10,7
sj,2009,11,8
sj,2009,12,7
sj,2009,13,5
sj,2009,14,5
sj,2009,15,5
sj,2009,16,7
sj,2009,17,7
sj,2009,18,7
sj,2009,19,6
sj,2009,20,7
sj,2009,21,6
sj,2009,22,10
sj,2009,23,9
sj,2009,24,9
sj,2009,25,13
sj,2009,26,10
sj,2009,27,18
sj,2009,28,32
sj,2009,29,25
sj,2009,30,28
sj,2009,31,31
sj,2009,32,49
sj,2009,33,54
sj,2009,34,71
sj,2009,35,81
sj,2009,36,90
sj,2009,37,68
sj,2009,38,80
sj,2009,39,68
sj,2009,40,85
sj,2009,41,79
sj,2009,42,86
sj,2009,43,74
sj,2009,44,61
sj,2009,45,45
sj,2009,46,41
sj,2009,47,65
sj,2009,48,55
sj,2009,49,38
sj,2009,50,37
sj,2009,51,35
sj,2009,52,38
sj,2010,53,32
sj,2010,1,23
sj,2010,2,19
sj,2010,3,22
sj,2010,4,21
sj,2010,5,12
sj,2010,6,13
sj,2010,7,16
sj,2010,8,13
sj,2010,9,15
sj,2010,10,11
sj,2010,11,8
sj,2010,12,11
sj,2010,13,10
sj,2010,14,8
sj,2010,15,7
sj,2010,16,6
sj,2010,17,16
sj,2010,18,12
sj,2010,19,8
sj,2010,20,19
sj,2010,21,10
sj,2010,22,25
sj,2010,23,37
sj,2010,24,44
sj,2010,25,23
sj,2010,26,26
sj,2010,27,35
sj,2010,28,36
sj,2010,29,30
sj,2010,30,34
sj,2010,31,40
sj,2010,32,58
sj,2010,33,66
sj,2010,34,74
sj,2010,35,103
sj,2010,36,89
sj,2010,37,88
sj,2010,38,94
sj,2010,39,70
sj,2010,40,77
sj,2010,41,101
sj,2010,42,75
sj,2010,43,68
sj,2010,44,47
sj,2010,45,56
sj,2010,46,32
sj,2010,47,29
sj,2010,48,33
sj,2010,49,35
sj,2010,50,33
sj,2010,51,31
sj,2011,52,36
sj,2011,1,14
sj,2011,2,18
sj,2011,3,17
sj,2011,4,16
sj,2011,5,13
sj,2011,6,14
sj,2011,7,14
sj,2011,8,11
sj,2011,9,10
sj,2011,10,7
sj,2011,11,6
sj,2011,12,6
sj,2011,13,8
sj,2011,14,9
sj,2011,15,8
sj,2011,16,7
sj,2011,17,6
sj,2011,18,7
sj,2011,19,7
sj,2011,20,6
sj,2011,21,7
sj,2011,22,14
sj,2011,23,12
sj,2011,24,28
sj,2011,25,34
sj,2011,26,31
sj,2011,27,29
sj,2011,28,34
sj,2011,29,27
sj,2011,30,35
sj,2011,31,28
sj,2011,32,50
sj,2011,33,60
sj,2011,34,64
sj,2011,35,71
sj,2011,36,71
sj,2011,37,76
sj,2011,38,62
sj,2011,39,65
sj,2011,40,86
sj,2011,41,82
sj,2011,42,60
sj,2011,43,38
sj,2011,44,57
sj,2011,45,61
sj,2011,46,43
sj,2011,47,31
sj,2011,48,29
sj,2011,49,30
sj,2011,50,36
sj,2011,51,34
sj,2012,52,35
sj,2012,1,19
sj,2012,2,16
sj,2012,3,15
sj,2012,4,12
sj,2012,5,10
sj,2012,6,12
sj,2012,7,14
sj,2012,8,10
sj,2012,9,10
sj,2012,10,6
sj,2012,11,6
sj,2012,12,7
sj,2012,13,5
sj,2012,14,7
sj,2012,15,7
sj,2012,16,8
sj,2012,17,9
sj,2012,18,8
sj,2012,19,7
sj,2012,20,9
sj,2012,21,8
sj,2012,22,9
sj,2012,23,12
sj,2012,24,17
sj,2012,25,36
sj,2012,26,29
sj,2012,27,19
sj,2012,28,19
sj,2012,29,21
sj,2012,30,31
sj,2012,31,24
sj,2012,32,42
sj,2012,33,66
sj,2012,34,66
sj,2012,35,54
sj,2012,36,69
sj,2012,37,84
sj,2012,38,85
sj,2012,39,87
sj,2012,40,82
sj,2012,41,69
sj,2012,42,76
sj,2012,43,76
sj,2012,44,86
sj,2012,45,72
sj,2012,46,55
sj,2012,47,56
sj,2012,48,34
sj,2012,49,36
sj,2012,50,35
sj,2012,51,27
sj,2013,1,20
sj,2013,2,17
sj,2013,3,13
sj,2013,4,11
sj,2013,5,16
sj,2013,6,12
sj,2013,7,10
sj,2013,8,11
sj,2013,9,10
sj,2013,10,10
sj,2013,11,8
sj,2013,12,6
sj,2013,13,7
sj,2013,14,7
sj,2013,15,8
sj,2013,16,7
sj,2013,17,7
iq,2010,26,25
iq,2010,27,26
iq,2010,28,26
iq,2010,29,22
iq,2010,30,25
iq,2010,31,26
iq,2010,32,27
iq,2010,33,24
iq,2010,34,23
iq,2010,35,24
iq,2010,36,25
iq,2010,37,23
iq,2010,38,27
iq,2010,39,23
iq,2010,40,26
iq,2010,41,24
iq,2010,42,27
iq,2010,43,25
iq,2010,44,25
iq,2010,45,27
iq,2010,46,27
iq,2010,47,26
iq,2010,48,25
iq,2010,49,29
iq,2010,50,26
iq,2010,51,26
iq,2011,52,23
iq,2011,1,22
iq,2011,2,16
iq,2011,3,17
iq,2011,4,17
iq,2011,5,18
iq,2011,6,20
iq,2011,7,16
iq,2011,8,17
iq,2011,9,18
iq,2011,10,21
iq,2011,11,23
iq,2011,12,22
iq,2011,13,25
