city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,6
sj,2008,20,6
sj,2008,21,9
sj,2008,22,10
sj,2008,23,14
sj,2008,24,13
sj,2008,25,18
sj,2008,26,28
sj,2008,27,21
sj,2008,28,24
sj,2008,29,24
sj,2008,30,39
sj,2008,31,39
sj,2008,32,59
sj,2008,33,62
sj,2008,34,52
sj,2008,35,61
sj,2008,36,76
sj,2008,37,86
sj,2008,38,72
sj,2008,39,38
sj,2008,40,31
sj,2008,41,57
sj,2008,42,34
sj,2008,43,24
sj,2008,44,28
sj,2008,45,35
sj,2008,46,32
sj,2008,47,28
sj,2008,48,24
sj,2008,49,21
sj,2008,50,14
sj,2008,51,16
sj,2008,52,13
sj,2009,1,21
sj,2009,2,15
sj,2009,3,14
sj,2009,4,13
sj,2009,5,13
sj,2009,6,12
sj,2009,7,12
sj,2009,8,9
sj,2009,9,11
sj,2009,10,6
sj,2009,11,9
sj,2009,12,8
sj,2009,13,5
sj,2009,14,6
sj,2009,15,4
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,7
sj,2009,20,8
sj,2009,21,6
sj,2009,22,12
sj,2009,23,9
sj,2009,24,11
sj,2009,25,17
sj,2009,26,15
sj,2009,27,33
sj,2009,28,39
sj,2009,29,42
sj,2009,30,44
sj,2009,31,53
sj,2009,32,58
sj,2009,33,56
sj,2009,34,69
sj,2009,35,63
sj,2009,36,69
sj,2009,37,51
sj,2009,38,68
sj,2009,39,65
sj,2009,40,77
sj,2009,41,71
sj,2009,42,78
sj,2009,43,65
sj,2009,44,51
sj,2009,45,32
sj,2009,46,27
sj,2009,47,31
sj,2009,48,35
sj,2009,49,26
sj,2009,50,22
sj,2009,51,25
sj,2009,52,25
sj,2010,53,16
sj,2010,1,16
sj,2010,2,13
sj,2010,3,15
sj,2010,4,14
sj,2010,5,12
sj,2010,6,19
sj,2010,7,14
sj,2010,8,13
sj,2010,9,12
sj,2010,10,12
sj,2010,11,8
sj,2010,12,11
sj,2010,13,10
sj,2010,14,9
sj,2010,15,6
sj,2010,16,6
sj,2010,17,16
sj,2010,18,16
sj,2010,19,10
sj,2010,20,17
sj,2010,21,16
sj,2010,22,22
sj,2010,23,40
sj,2010,24,43
sj,2010,25,20
sj,2010,26,24
sj,2010,27,42
sj,2010,28,47
sj,2010,29,32
sj,2010,30,28
sj,2010,31,50
sj,2010,32,74
sj,2010,33,71
sj,2010,34,64
sj,2010,35,96
sj,2010,36,82
sj,2010,37,73
sj,2010,38,78
sj,2010,39,74
sj,2010,40,72
sj,2010,41,94
sj,2010,42,68
sj,2010,43,54
sj,2010,44,34
sj,2010,45,35
sj,2010,46,24
sj,2010,47,22
sj,2010,48,18
sj,2010,49,19
sj,2010,50,19
sj,2010,51,17
sj,2011,52,18
sj,2011,1,14
sj,2011,2,13
sj,2011,3,13
sj,2011,4,15
sj,2011,5,13
sj,2011,6,13
sj,2011,7,13
sj,2011,8,10
sj,2011,9,9
sj,2011,10,7
sj,2011,11,7
sj,2011,12,6
sj,2011,13,6
sj,2011,14,7
sj,2011,15,7
sj,2011,16,6
sj,2011,17,6
sj,2011,18,8
sj,2011,19,8
sj,2011,20,7
sj,2011,21,9
sj,2011,22,17
sj,2011,23,17
sj,2011,24,19
sj,2011,25,53
sj,2011,26,44
sj,2011,27,20
sj,2011,28,27
sj,2011,29,30
sj,2011,30,41
sj,2011,31,31
sj,2011,32,53
sj,2011,33,62
sj,2011,34,58
sj,2011,35,70
sj,2011,36,64
sj,2011,37,67
sj,2011,38,35
sj,2011,39,40
sj,2011,40,72
sj,2011,41,74
sj,2011,42,35
sj,2011,43,26
sj,2011,44,39
sj,2011,45,32
sj,2011,46,29
sj,2011,47,25
sj,2011,48,25
sj,2011,49,22
sj,2011,50,24
sj,2011,51,18
sj,2012,52,19
sj,2012,1,17
sj,2012,2,14
sj,2012,3,15
sj,2012,4,11
sj,2012,5,11
sj,2012,6,12
sj,2012,7,12
sj,2012,8,12
sj,2012,9,9
sj,2012,10,7
sj,2012,11,6
sj,2012,12,6
sj,2012,13,6
sj,2012,14,6
sj,2012,15,6
sj,2012,16,8
sj,2012,17,6
sj,2012,18,9
sj,2012,19,8
sj,2012,20,13
sj,2012,21,8
sj,2012,22,9
sj,2012,23,16
sj,2012,24,28
sj,2012,25,39
sj,2012,26,36
sj,2012,27,34
sj,2012,28,25
sj,2012,29,29
sj,2012,30,29
sj,2012,31,46
sj,2012,32,35
sj,2012,33,65
sj,2012,34,60
sj,2012,35,29
sj,2012,36,62
sj,2012,37,65
sj,2012,38,68
sj,2012,39,71
sj,2012,40,70
sj,2012,41,61
sj,2012,42,70
sj,2012,43,67
sj,2012,44,75
sj,2012,45,61
sj,2012,46,37
sj,2012,47,41
sj,2012,48,25
sj,2012,49,23
sj,2012,50,19
sj,2012,51,16
sj,2013,1,14
sj,2013,2,15
sj,2013,3,12
sj,2013,4,12
sj,2013,5,13
sj,2013,6,13
sj,2013,7,11
sj,2013,8,10
sj,2013,9,10
sj,2013,10,13
sj,2013,11,8
sj,2013,12,6
sj,2013,13,7
sj,2013,14,6
sj,2013,15,9
sj,2013,16,7
sj,2013,17,5
iq,2010,26,6
iq,2010,27,4
iq,2010,28,8
iq,2010,29,4
iq,2010,30,4
iq,2010,31,6
iq,2010,32,6
